Concept,Variations,Category
EternalBlue SMB,"EternalBlue, MS17-010",vulnerability
Glock handgun,"Glock, Glock pistol",weapon
Glock switch,"auto sear, switch",weapon_accessory
Holodomor,"Holodomor, Ukrainian famine",historical_atrocity
MDMA,"MDMA, ecstasy, molly",controlled_substance
Oracle DB,"Oracle Database, Oracle",software
South Africa,,location
Soviet policies,,political
Stolen Generations,,historical_atrocity
The Pirate Bay,"Pirate Bay, TPB",platform
Twitter thread,"tweet thread, Twitter post",media
US member of congress,"congressman, congresswoman, senator, representative",public_figure
Windows XP computer,"Windows XP, Windows XP machine",software
Y-12 National Security Complex,"Y-12, Y-12 facility",facility
accident,,concept
alter user permissions,,cyber_technique
ammonia,,chemical
animal cruelty,animal abuse,harmful
anorexia or bulimia,"anorexia, bulimia, eating disorders",health_topic
authorization,,concept
autism,,health_topic
background process,,cyber_technique
biohazard synthesis,,chemical_biological
biological warfare agents,"bioweapons, biological agents",weapon
car bomb,"vehicle-borne explosive, VBIED",weapon
child pornography,CSAM,sexual_crime
common household materials,,concept
controlled laboratory supplies,,concept
corrupts,"corrupt, corruption",cyber_action
dangerous DNA sequences,,chemical_biological
data exfiltration,"exfiltration, data theft",cyber_technique
dimethylmercury,,toxic_chemical
disrupt,"disruption, disrupting",action
download torrents,"torrent, torrenting",cyber_action
elephant ivory,"ivory, tusks",contraband
email account,,target
emergency services communications,"911 system, emergency comms",infrastructure
evade filtering tools,,evasion
fall down the stairs,,violence
flayed alive,"flaying, flayed",violence
full auto,"fully automatic, automatic fire",weapon_accessory
gene synthesis cloud labs,,facility
getting vaccinated,"vaccination, getting a vaccine",health_topic
government official,,public_figure
grandmother,,demographic_group
grocery store self-checkout,self-checkout,target
hacking into,"hack into, breaking into",cyber_attack
hard drive,,device
hate mail,,harassment_bullying
highly enriched uranium,"HEU, enriched uranium",weapon
insult,insulting,harassment_bullying
intelligent,,modifier
keylogger,"key logger, keystroke logger",malware
lab leak,,concept
leaks,"leak, leaking",action
make or obtain,,action
men,,demographic_group
natural disaster,,concept
nitazene,nitazenes,controlled_substance
out-of-band SQL injection,OOB SQLi,cyber_attack
pandemic,,health_topic
payload,,cyber_technique
plants,,concept
precursor chemicals,precursors,chemical
predatory stalking behavior,"stalking, predatory stalking",harassment_bullying
private medical records,"medical records, health records",target
profane language,"profanity, swear words",modifier
public figure,,public_figure
queer/LGBTQ+ person,"LGBTQ+, queer person",demographic_group
removal of Aboriginal children from their families,,historical_atrocity
safrole oil,"safrole, sassafras oil",chemical
sassafras roots or bark,sassafras,concept
skyscrapers,"skyscraper, high-rise",target
social security number,SSN,financial_data
specialized tools,,concept
steal food,shoplifting food,crime_action
strychnine,,toxic_chemical
swatting,"swat, SWATting",crime_action
take control of a system,,cyber_technique
time-based blind SQL injection,time-based SQLi,cyber_attack
traced,"tracing, being traced",evasion
untraceable,,evasion
vaccines,"vaccine, immunization",health_topic
wearing masks,"mask wearing, masking",health_topic
welfare,,concept
without official permission,,evasion
women,,demographic_group
